age,same_sex,met,dating,movein,marry
18,-1,August 2015,January 2016,null,null
18,-1,November 2014,January 2015,November 2016,null
18,-1,April 2012,February 2016,null,null
18,-1,January 2013,February 2013,null,null
18,0,August 2016,November 2016,May 2017,May 2017
18,-1,November 2012,November 2016,null,null
18,0,October 2000,October 2000,November 2000,October 2000
18,-1,April 2017,April 2017,null,null
18,-1,June 2017,July 2017,null,null
18,-1,November 2016,July 2017,null,null
18,0,January 2016,April 2017,null,null
19,-1,July 2016,August 2016,null,null
19,-1,August 2016,May 2017,null,null
19,-1,July 2010,June 2015,null,null
19,0,February 2016,March 2016,null,null
19,-1,August 2015,August 2016,null,null
19,-1,March 2015,April 2015,null,null
19,1,May 2015,September 2016,null,null
19,-1,February 2016,April 2016,null,null
19,-1,August 2015,September 2016,null,null
19,-1,June 2012,June 2012,May 2015,null
19,-1,May 2015,December 2016,null,null
19,-1,2014,2014,null,null
19,1,April 2015,June 2015,October 2016,null
19,-1,August 2010,October 2015,null,null
19,-1,October 2013,November 2014,null,null
19,-1,February 2017,March 2017,null,null
19,-1,April 2016,May 2016,null,null
20,-1,March 2015,June 2015,null,null
20,-1,April 2017,April 2017,April 2017,null
20,-1,April 2016,null,July 2017,July 2017
20,-1,February 2011,March 2011,November 2014,January 2014
20,-1,March 2016,April 2017,null,null
20,-1,January 2017,January 2017,null,null
20,0,January 2011,January 2012,null,null
20,-1,May 1999,March 2001,null,null
20,0,May 2017,May 2017,null,null
20,-1,November 2016,May 2017,null,null
20,-1,October 2013,December 2014,null,null
20,-1,October 2013,May 2014,null,null
20,-1,March 1998,March 1999,March 2000,February 2001
20,-1,May 2016,June 2016,null,null
20,0,May 2016,November 2016,null,null
20,-1,March 2014,June 2015,null,null
20,-1,February 2017,null,February 2017,null
20,-1,February 2017,April 2017,June 2017,null
20,-1,October 2014,November 2014,February 2017,null
20,-1,May 2012,August 2012,July 2017,null
20,1,November 2016,December 2016,null,null
21,-1,August 2012,December 2015,null,null
21,0,September 1996,September 1996,1996,December 1996
21,-1,August 2015,August 2015,July 2016,July 2016
21,-1,April 2006,April 2006,null,null
21,-1,September 2015,November 2016,null,null
21,0,July 2015,August 2015,December 2015,December 2015
21,-1,November 2015,December 2016,January 2017,null
21,-1,September 2012,June 2014,null,null
21,1,September 2015,September 2015,null,null
21,-1,2012,2015,null,null
21,-1,September 2016,December 2016,null,null
21,1,October 2015,July 2017,null,null
21,-1,June 2011,June 2011,June 2014,null
21,-1,May 2015,February 2016,null,null
21,-1,September 2014,February 2017,null,null
22,-1,January 2014,January 2014,January 2016,December 2015
22,0,August 2016,December 2016,null,null
22,0,January 2014,January 2014,null,null
22,-1,December 2008,January 2010,October 2016,null
22,0,April 2016,July 2016,July 2017,null
22,1,July 2014,May 2016,null,null
22,-1,2015,July 2015,null,May 2017
22,-1,November 2015,2015,January 2016,null
22,-1,August 2015,November 2015,null,null
22,-1,June 2011,September 2016,null,null
22,1,July 2014,July 2014,October 2014,August 2016
22,0,July 2013,June 2016,September 2016,null
22,0,June 2015,June 2015,null,null
22,-1,November 2013,May 2016,null,null
22,-1,January 2011,2011,null,null
22,-1,October 2015,October 2015,September 2016,null
22,-1,March 2012,May 2012,September 2014,null
22,-1,February 2016,December 2016,null,null
23,-1,September 2007,September 2010,null,null
23,0,June 2017,July 2017,null,null
23,-1,January 2010,February 2011,January 2014,null
23,-1,January 2009,May 2015,null,null
23,0,August 2007,September 2016,null,null
23,-1,March 2014,2014,2014,null
23,0,May 2016,July 2016,null,null
23,-1,September 2009,November 2009,November 2009,November 2012
23,1,March 2015,March 2015,October 2015,null
23,1,March 2017,May 2017,null,null
23,-1,June 2007,April 2008,March 2011,February 2015
23,-1,April 2010,April 2010,September 2012,null
23,0,February 2015,March 2016,March 2016,July 2017
23,-1,April 2008,September 2010,null,null
23,0,August 2015,null,null,null
23,-1,December 2014,January 2015,null,null
23,0,May 2014,May 2014,August 2014,September 2016
23,-1,January 2010,June 2013,May 2014,April 2016
23,-1,December 2014,April 2015,null,null
24,1,December 2015,December 2015,null,null
24,-1,December 2012,December 2012,June 2013,June 2013
24,-1,June 2004,November 2008,October 2012,null
24,1,February 2017,2017,null,null
24,-1,January 2015,June 2015,null,null
24,-1,May 2012,June 2012,March 2015,null
24,-1,January 2012,April 2012,November 2012,November 2012
24,0,January 2016,June 2016,September 2016,null
24,0,null,null,null,null
24,0,April 2017,April 2017,null,null
24,0,October 2010,November 2011,December 2011,null
24,0,July 2011,August 2015,June 2016,null
24,0,July 2015,July 2015,April 2017,null
24,1,January 2016,January 2017,null,null
24,-1,October 2016,December 2016,null,null
24,0,November 2012,December 2012,April 2013,December 2012
24,0,December 2015,December 2015,null,null
24,1,June 2011,June 2013,June 2013,null
24,0,November 2012,April 2015,May 2015,2016
24,-1,July 2002,July 2011,February 2012,February 2012
24,-1,September 2012,September 2015,null,null
24,0,September 2008,June 2011,May 2013,null
24,-1,January 2014,April 2014,November 2015,null
24,-1,March 2013,December 2013,January 2015,null
24,-1,July 2014,July 2014,August 2014,February 2017
24,-1,February 2016,September 2016,null,null
24,-1,November 2012,December 2012,August 2013,October 2016
24,1,December 2016,January 2017,null,null
24,-1,July 2013,July 2013,null,null
24,-1,February 2007,March 2007,December 2016,null
24,-1,April 2013,February 2015,null,null
24,-1,November 2005,July 2011,July 2016,July 2016
24,-1,March 2017,April 2017,null,null
24,-1,January 2012,January 2012,null,null
24,-1,July 2015,November 2015,September 2016,null
24,0,May 2016,March 2017,null,null
24,-1,May 2016,October 2016,null,null
24,-1,May 2015,May 2015,null,null
24,-1,August 2013,2015,2015,null
24,-1,August 2006,June 2016,null,May 2017
24,-1,August 2004,August 2004,null,null
24,-1,April 2013,February 2014,null,null
25,-1,April 2017,April 2017,null,null
25,-1,March 2014,May 2014,null,null
25,-1,August 2009,March 2013,July 2017,null
25,-1,December 2015,February 2017,February 2017,null
25,0,May 2015,July 2015,February 2016,null
25,-1,March 2012,February 2014,null,null
25,-1,December 2014,January 2015,December 2015,null
25,-1,March 2017,April 2017,null,null
25,0,August 2007,November 2013,November 2013,April 2015
25,0,August 2010,March 2011,July 2013,null
25,-1,December 2010,December 2010,June 2012,July 2017
25,-1,July 2008,null,null,null
25,1,October 2016,November 2016,January 2017,null
25,-1,April 2014,April 2014,February 2015,October 2016
25,-1,September 2014,December 2014,July 2016,null
25,-1,September 2004,June 2007,July 2013,null
25,-1,October 2014,October 2014,September 2016,null
25,0,July 2002,August 2005,October 2010,October 2010
25,-1,June 2008,August 2008,null,null
25,-1,February 2013,May 2013,March 2017,null
25,-1,August 2010,September 2016,null,null
25,0,August 2004,October 2007,null,null
25,-1,January 2012,May 2013,September 2016,null
25,-1,August 2013,December 2013,May 2015,May 2015
25,0,June 2006,October 2011,December 2012,November 2013
25,-1,March 2010,April 2010,June 2010,May 2010
25,-1,July 2011,September 2011,May 2015,null
25,-1,September 2007,April 2010,August 2012,July 2016
25,-1,null,null,null,null
25,0,November 2012,June 2017,July 2017,null
25,1,January 2016,March 2016,October 2016,null
25,0,December 2011,December 2011,May 2012,null
25,1,February 1993,null,null,null
25,-1,October 2012,December 2012,January 2013,May 2015
25,-1,January 2012,January 2012,January 2012,January 2012
25,-1,June 2015,August 2015,null,null
25,-1,June 2011,June 2011,July 2011,March 2013
25,0,September 2010,October 2013,August 2015,null
25,-1,May 2014,June 2015,June 2016,June 2016
25,-1,February 2017,February 2017,null,null
25,-1,March 2017,March 2017,null,null
25,1,March 2015,2015,February 2016,null
25,-1,January 2015,February 2015,May 2015,null
25,0,April 1993,July 1998,June 2002,August 2004
25,-1,October 2014,October 2014,January 2015,November 2016
25,-1,October 2008,March 2009,March 2011,null
26,-1,July 2009,July 2009,January 2010,July 2012
26,0,August 2003,November 2005,August 2010,October 2015
26,1,December 2006,March 2014,July 2014,null
26,0,June 2017,July 2017,null,null
26,-1,August 2006,May 2008,January 2009,September 2009
26,0,October 2010,June 2011,May 2013,null
26,-1,February 2012,November 2012,June 2014,September 2016
26,-1,June 2007,August 2009,November 2009,December 2011
26,1,March 2007,November 2008,February 2009,December 2014
26,0,April 2015,April 2016,null,null
26,1,November 2011,January 2012,October 2015,null
26,-1,February 2010,May 2010,September 2010,September 2010
26,-1,June 2007,July 2007,June 2015,October 2016
26,-1,August 2010,October 2011,January 2013,null
26,-1,April 2011,April 2011,null,null
26,-1,July 2011,January 2012,July 2014,July 2014
26,-1,July 2004,April 2009,June 2009,null
26,-1,September 2003,November 2007,March 2011,May 2011
26,-1,November 2007,May 2012,December 2013,December 2013
26,-1,January 2016,March 2016,April 2016,null
26,0,April 2017,May 2017,null,null
26,-1,April 2014,2017,null,January 2017
26,-1,September 2016,October 2016,null,null
26,-1,August 2006,2017,null,null
26,-1,August 2006,April 2008,June 2009,October 2015
26,-1,November 2009,March 2010,March 2010,May 2012
26,-1,October 2006,2014,March 2014,July 2014
26,0,December 2010,December 2010,null,null
26,-1,September 2007,September 2007,June 2009,November 2009
26,0,July 2013,July 2013,August 2014,March 2015
26,-1,November 2011,December 2011,February 2012,May 2015
26,-1,December 2013,January 2014,null,null
26,0,September 2004,2009,June 2010,June 2012
